date,open,high,low,close
12/12/1980,0.5134,0.5155,0.5134,0.5134
12/15/1980,0.4889,0.4889,0.4866,0.4866
12/16/1980,0.453,0.453,0.4509,0.4509
12/17/1980,0.462,0.4643,0.462,0.462
12/18/1980,0.4755,0.4777,0.4755,0.4755
12/19/1980,0.5045,0.5068,0.5045,0.5045
12/22/1980,0.5291,0.5313,0.5291,0.5291
12/23/1980,0.5514,0.5536,0.5514,0.5514
12/24/1980,0.5804,0.5827,0.5804,0.5804
12/26/1980,0.6339,0.6361,0.6339,0.6339
12/29/1980,0.6429,0.6452,0.6429,0.6429
12/30/1980,0.6295,0.6295,0.6271,0.6271
12/31/1980,0.6116,0.6116,0.6095,0.6095
1/2/1981,0.6161,0.6205,0.6161,0.6161
1/5/1981,0.6048,0.6048,0.6027,0.6027
1/6/1981,0.578,0.578,0.5759,0.5759
1/7/1981,0.5536,0.5536,0.5514,0.5514
1/8/1981,0.5423,0.5423,0.5402,0.5402
1/9/1981,0.5693,0.5714,0.5693,0.5693
1/12/1981,0.5693,0.5693,0.5646,0.5646
1/13/1981,0.547,0.547,0.5446,0.5446
1/14/1981,0.547,0.5491,0.547,0.547
1/15/1981,0.558,0.5625,0.558,0.558
1/16/1981,0.5557,0.5557,0.5536,0.5536
1/19/1981,0.587,0.5893,0.587,0.587
1/20/1981,0.5714,0.5714,0.5693,0.5693
1/21/1981,0.5804,0.5848,0.5804,0.5804
1/22/1981,0.587,0.5916,0.587,0.587
1/23/1981,0.587,0.5893,0.5848,0.5848
1/26/1981,0.578,0.578,0.5759,0.5759
1/27/1981,0.5759,0.5759,0.5714,0.5714
1/28/1981,0.5557,0.5557,0.5536,0.5536
1/29/1981,0.5357,0.5357,0.5334,0.5334
1/30/1981,0.5089,0.5089,0.5045,0.5045
2/2/1981,0.4777,0.4777,0.4755,0.4755
2/3/1981,0.4932,0.4955,0.4932,0.4932
2/4/1981,0.5111,0.5134,0.5111,0.5111
2/5/1981,0.5111,0.5155,0.5111,0.5111
2/6/1981,0.5134,0.5155,0.5134,0.5134
2/9/1981,0.4911,0.4911,0.4866,0.4866
2/10/1981,0.4866,0.4889,0.4866,0.4866
2/11/1981,0.4732,0.4732,0.4709,0.4709
2/12/1981,0.4688,0.4688,0.4666,0.4666
2/13/1981,0.4598,0.4598,0.4554,0.4554
2/17/1981,0.4666,0.4688,0.4666,0.4666
2/18/1981,0.4866,0.4911,0.4866,0.4866
2/19/1981,0.4598,0.4598,0.4577,0.4577
2/20/1981,0.4354,0.4354,0.433,0.433
2/23/1981,0.4396,0.442,0.4396,0.4396
2/24/1981,0.4286,0.4286,0.4241,0.4241
2/25/1981,0.4509,0.453,0.4509,0.4509
2/26/1981,0.4577,0.4598,0.4577,0.4577
2/27/1981,0.4732,0.4777,0.4732,0.4732
3/2/1981,0.4755,0.4777,0.4755,0.4755
3/3/1981,0.4709,0.4709,0.4688,0.4688
3/4/1981,0.4666,0.4666,0.4643,0.4643
3/5/1981,0.4643,0.4643,0.462,0.462
3/6/1981,0.462,0.462,0.4577,0.4577
3/9/1981,0.4241,0.4241,0.422,0.422
3/10/1981,0.4041,0.4041,0.4018,0.4018
3/11/1981,0.3905,0.3905,0.3861,0.3861
3/12/1981,0.4018,0.4041,0.4018,0.4018
3/13/1981,0.3995,0.3995,0.3973,0.3973
